('INTERNALID','ROUTES_161'),
('S00010','53L'),
('N71237','P10'),
('N71239','P10'),
('N71238','P10'),
('S00080','53'),
('S00080','53L'),
('S00090','53'),
('S00090','53L'),
('E70002','54'),
('N71245','P10'),
('N71244','P10'),
('S00530','53'),
('S00530','53L'),
('S00550','53'),
('S00550','53L'),
('E00175','54'),
('E00175','88'),
('E00175','91'),
('E00180','54'),
('S01280','59'),
('S01280','61C'),
('S01290','52L'),
('S01290','61C'),
('S01290','P7'),
('S01300','59'),
('S01300','61C'),
('S01330','52L'),
('S01330','59'),
('S01330','61C'),
('S01330','P7'),
('S01340','61C'),
('S01360','59'),
('S01360','61C'),
('S01395','59'),
('S01395','61C'),
('N17690','1'),
('N17690','2'),
('N17510','1'),
('N17510','2'),
('E00270','54'),
('E00270','88'),
('E00270','91'),
('E70244','64'),
('W00260','G31'),
('W00280','G31'),
('E00420','93'),
('E00430','93'),
('E00445','93'),
('E00500','64'),
('E00500','93'),
('E70245','64'),
('E70245','93'),
('N01830','1'),
('E70766','59'),
('E70766','71'),
('E70766','P7'),
('W00300','21'),
('N01935','1'),
('W70156','21'),
('E70765','59'),
('E70765','71'),
('E70765','P7'),
('W00330','21'),
('W00340','21'),
('W00370','21'),
('N71246','P10'),
('W00390','21'),
('W00290','21'),
('W00440','21'),
('W00450','21'),
('W00470','21'),
('E00750','59'),
('S01520','59'),
('E70885','59'),
('S01530','59'),
('S01540','59'),
('E70410','87'),
('E70410','93'),
('S01620','55'),
('S01620','56'),
('S01620','59'),
('S01620','61C'),
('S01620','P7'),
('W00490','21'),
('W00510','21'),
('W00600','21'),
('W00610','21'),
('W00620','21'),
('S01810','56'),
('S01810','60'),
('W00650','21'),
('W00660','21'),
('E70824','69'),
('E70824','P69'),
('E02110','69'),
('E02110','P69'),
('S02160','59'),
('S02170','59'),
('S02180','59'),
('E20050','69'),
('E20050','P69'),
('S02210','59'),
('S02250','59'),
('S02260','59'),
('S02270','59'),
('E02245','59'),
('P00760','7'),
('P00760','13'),
('P00760','15'),
('P00760','16'),
('P00760','17'),
('E70589','61A'),
('E70589','61B'),
('E70821','69'),
('E70821','P69'),
('P00930','13'),
('P00930','16'),
('P00930','17'),
('P00940','1'),
('P00940','6'),
('P00940','11'),
('P00940','15'),
('E02430','69'),
('E02430','P69'),
('E70820','69'),
('E70820','P69'),
('E70828','69'),
('E70828','P69'),
('N03995','1'),
('S02550','52L'),
('S02550','53L'),
('S02550','59'),
('S02550','61C'),
('S02570','52L'),
('S02570','53'),
('S02570','53L'),
('S02570','59'),
('S02570','61C'),
('S02610','52L'),
('S02610','59'),
('S02610','61C'),
('S02620','52L'),
('S02620','53'),
('S02620','53L'),
('S02620','59'),
('S02620','61C'),
('S02660','52L'),
('S02660','59'),
('S02660','61C'),
('S02670','52L'),
('S02670','59'),
('S02670','61C'),
('S02715','52L'),
('S02715','59'),
('S02715','61C'),
('S02750','52L'),
('S02750','59'),
('S02750','61C'),
('S35020','61C'),
('S02820','52L'),
('S02820','59'),
('S02820','61C'),
('S02830','52L'),
('S02830','59'),
('S02830','61C'),
('S02840','52L'),
('S02840','53'),
('S02840','53L'),
('S02840','59'),
('S02840','61C'),
('S02880','52L'),
('S02880','59'),
('S02880','61C'),
('S02910','52L'),
('S02910','53L'),
('S02910','57'),
('S02910','61C'),
('S02930','52L'),
('S02930','53'),
('S02930','53L'),
('S02930','57'),
('S02930','59'),
('S02930','61C'),
('S02965','61C'),
('S02990','52L'),
('S02990','59'),
('S02990','61C'),
('S34965','61C'),
('S03090','52L'),
('S03090','59'),
('S03090','61C'),
('S03530','53'),
('S03530','53L'),
('S03550','53'),
('S03550','53L'),
('N04200','P10'),
('N04260','P10'),
('N04300','P10'),
('N04310','P10'),
('N04320','P10'),
('N04340','P10'),
('N04360','P10'),
('N04380','P10'),
('N04240','P10'),
('S70331','55'),
('S70372','55'),
('E02790','79'),
('E02790','P17'),
('E02810','79'),
('E02810','P17'),
('E02770','79'),
('E02770','P17'),
('E02850','79'),
('E02850','P17'),
('E02870','79'),
('E02870','P17'),
('E02890','83'),
('E02900','83'),
('E02910','83'),
('S70515','44'),
('S70516','44'),
('S70510','44'),
('S70518','44'),
('S70522','44'),
('S70519','44'),
('S70511','44'),
('S70513','44'),
('S70521','44'),
('S70512','44'),
('S70520','44'),
('E02925','89'),
('E02929','89'),
('E02930','89'),
('E02931','89'),
('E03270','69'),
('E03270','P69'),
('E02940','69'),
('E02940','P69'),
('E02990','69'),
('E02990','P69'),
('E03010','69'),
('E03010','P69'),
('E03240','69'),
('E03240','P69'),
('E03080','69'),
('E03080','P69'),
('E03100','69'),
('E03100','P69'),
('E03120','69'),
('E03120','P69'),
('E03140','69'),
('E03140','P69'),
('E03150','69'),
('E03150','P69'),
('E02980','69'),
('E02980','P69'),
('E03000','69'),
('E03000','P69'),
('E03200','69'),
('E03200','P69'),
('E03260','69'),
('E03260','P69'),
('E03273','68'),
('E03273','P68'),
('E03285','77'),
('E03277','77'),
('E03290','58'),
('S03950','54'),
('S03970','54'),
('E70026','78'),
('E70026','P78'),
('E70087','78'),
('E70087','P78'),
('E70028','78'),
('E70028','P78'),
('E70038','78'),
('E70038','P78'),
('N04560','18'),
('N04640','18'),
('E70025','78'),
('E70025','P78'),
('E70036','78'),
('E70036','P78'),
('N04610','14'),
('N04610','18'),
('E70029','78'),
('E70029','P78'),
('E70032','78'),
('E70032','P78'),
('E70035','78'),
('E70035','P78'),
('E70037','78'),
('E70037','P78'),
